Feedback
The waiting time was too long.
Staff were friendly and helpful.
The doctor explained everything clearly.
Reception was understaffed and slow.
Facilities were clean but outdated.
Long delays in test results.
Billing process was confusing.
Appointment system is hard to use.
Nurses were very attentive.
The waiting room was overcrowded.
The waiting time was too long.
Staff were friendly and helpful.
The doctor explained everything clearly.
Reception was understaffed and slow.
Facilities were clean but outdated.
Long delays in test results.
Billing process was confusing.
Appointment system is hard to use.
Nurses were very attentive.
The waiting room was overcrowded.
The waiting time was too long.
Staff were friendly and helpful.
The doctor explained everything clearly.
Reception was understaffed and slow.
Facilities were clean but outdated.
Long delays in test results.
Billing process was confusing.
Appointment system is hard to use.
Nurses were very attentive.
The waiting room was overcrowded.
The waiting time was too long.
Staff were friendly and helpful.
The doctor explained everything clearly.
Reception was understaffed and slow.
Facilities were clean but outdated.
Long delays in test results.
Billing process was confusing.
Appointment system is hard to use.
Nurses were very attentive.
The waiting room was overcrowded.
The waiting time was too long.
Staff were friendly and helpful.
The doctor explained everything clearly.
Reception was understaffed and slow.
Facilities were clean but outdated.
Long delays in test results.
Billing process was confusing.
Appointment system is hard to use.
Nurses were very attentive.
The waiting room was overcrowded.
The waiting time was too long.
Staff were friendly and helpful.
The doctor explained everything clearly.
Reception was understaffed and slow.
Facilities were clean but outdated.
Long delays in test results.
Billing process was confusing.
Appointment system is hard to use.
Nurses were very attentive.
The waiting room was overcrowded.
The waiting time was too long.
Staff were friendly and helpful.
The doctor explained everything clearly.
Reception was understaffed and slow.
Facilities were clean but outdated.
Long delays in test results.
Billing process was confusing.
Appointment system is hard to use.
Nurses were very attentive.
The waiting room was overcrowded.
The waiting time was too long.
Staff were friendly and helpful.
The doctor explained everything clearly.
Reception was understaffed and slow.
Facilities were clean but outdated.
Long delays in test results.
Billing process was confusing.
Appointment system is hard to use.
Nurses were very attentive.
The waiting room was overcrowded.
The waiting time was too long.
Staff were friendly and helpful.
The doctor explained everything clearly.
Reception was understaffed and slow.
Facilities were clean but outdated.
Long delays in test results.
Billing process was confusing.
Appointment system is hard to use.
Nurses were very attentive.
The waiting room was overcrowded.
The waiting time was too long.
Staff were friendly and helpful.
The doctor explained everything clearly.
Reception was understaffed and slow.
Facilities were clean but outdated.
Long delays in test results.
Billing process was confusing.
Appointment system is hard to use.
Nurses were very attentive.
The waiting room was overcrowded.
